"Package","Version"
"quantreg","6.1"
"quarto","1.5.1"
"QuickJSR","1.8.1"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"r3","0.8.3"
"R6","2.6.1"
"RANN","2.6.2"
"rappdirs","0.3.4"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1.1"
"RcppAnnoy","0.0.22"
"RcppArmadillo","15.2.3-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppML","0.3.7"
"RcppParallel","5.1.11-1"
"RcppProgress","0.4.2"
"RcppRoll","0.3.1"
"RCurl","1.98-1.17"
"readr","2.2.0"
"readxl","1.4.5"
"reformulas","0.4.3"
"rematch","2.0.0"
"remotes","2.5.0"
"repmis","0.5.1"
"reshape2","1.4.5"
"restfulr","0.0.16"
"reticulate","1.44.1"
"rhdf5","2.52.1"
"rhdf5filters","1.22.0"
"Rhdf5lib","1.32.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","3.6.0"
"rjson","0.2.23"
"rlang","1.2.0"
"rmarkdown","2.31"
"ROCR","1.0-11"
"rootSolve","1.8.2.4"
"roxygen2","8.0.0"
"rprojroot","2.1.1"
"RSpectra","0.16-2"
"RSQLite","2.4.5"
"rstan","2.32.7"
"rstantools","2.5.0"
"rstatix","0.7.3"
"rstudioapi","0.18.0"
"rsvd","1.0.5"
"Rtsne","0.17"
"s2","1.1.9"
"S4Arrays","1.10.0"
"S4Vectors","0.48.0"
"S7","0.2.2"
"sass","0.4.10"
"ScaledMatrix","1.18.0"
"scater","1.36.0"
"scattermore","1.2"
"scCDC","1.4"
"scran","1.36.0"
"sctransform","0.4.2"
"scuttle","1.18.0"
"secretbase","1.2.2"
"segmented","2.1-4"
"Seqinfo","1.0.0"
"seqLogo","1.76.0"
"Seurat","5.5.0"
"SeuratData","0.2.2.9002"
"SeuratDisk","0.0.0.9021"
"SeuratObject","5.4.0"
"sf","1.0-23"
"shape","1.4.6.1"
"shiny","1.12.1"
"shinyBS","0.63.0"
"shinydashboard","0.7.3"
"shinydisconnect","0.1.1"
"shinyjs","2.1.0"
"SingleCellExperiment","1.32.0"
"SingleR","2.10.0"
"sitmo","2.0.2"
"slam","0.1-55"
"snakecase","0.11.1"
"snow","0.4-4"
"snowflakeauth","0.2.0"
"SoupX","1.6.2"
"sp","2.2-0"
"spam","2.11-1"
"SparseArray","1.10.1"
"SparseM","1.84-2"
"sparseMatrixStats","1.22.0"
"sparsesvd","0.2-3"
"spatstat.data","3.1-9"
"spatstat.explore","3.6-0"
"spatstat.geom","3.6-1"
"spatstat.random","3.4-3"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-5"
"spatstat.utils","3.2-0"
"spData","2.3.4"
"spdep","1.4-1"
"StanHeaders","2.32.10"
"statmod","1.5.1"
"stringi","1.8.7"
"stringr","1.6.0"
"styler","1.11.0"
"SummarizedExperiment","1.40.0"
"sys","3.4.3"
"systemfonts","1.3.1"
"tarchetypes","0.14.1"
"targets","1.12.0"
"tensor","1.5.1"
"tensorA","0.36.2.1"
"TFMPvalue","0.0.9"
"tibble","3.3.1"
"tictoc","1.2.1"
"tidygraph","1.3.1"
"tidyr","1.3.2"
"tidyselect","1.2.1"
"tidytree","0.4.6"
"timechange","0.4.0"
"timeDate","4051.111"
"tinytex","0.59"
"treeio","1.32.0"
"tseries","0.10-58"
"TTR","0.24.4"
"tweenr","2.0.3"
"tzdb","0.5.0"
"UCell","2.12.0"
"UCSC.utils","1.6.0"
"units","1.0-0"
"urca","1.3-4"
"usethis","3.2.1"
"utf8","1.2.6"
"uwot","0.2.4"
"vctrs","0.7.3"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.3"
"vroom","1.7.1"
"webfakes","1.4.0"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.5"
"writexl","1.5.4"
"WriteXLS","6.8.0"
"xfun","0.57"
"xgboost","3.1.2.1"
"XML","3.99-0.20"
"xml2","1.5.2"
"XVector","0.50.0"
"yaml","2.3.12"
"yulab.utils","0.2.3"
"zellkonverter","1.18.0"
"zip","2.3.3"
"zlibbioc","1.54.0"
